runtime,annotation_version,input_type
May-09-2024-17:59:17,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-06-2023-07:01:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-11-2023-19:53:22,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-20-2023-18:00:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:21:20,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Oct-05-2024-21:56:54,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-24-2023-15:50:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-10-2023-06:51:21,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jun-25-2024-12:03:49,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Oct-08-2024-21:30:43,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-30-2024-14:32:04,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-03-2024-22:38:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-27-2023-04:07:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-03-2024-13:34:05,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-11-2023-03:53:23,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-10-2023-21:44:08,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-30-2024-20:51:44,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-02-2024-01:42:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-02-2024-14:05:29,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-28-2023-06:47:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-29-2023-17:56:17,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Dec-01-2023-19:00:23,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-17-2024-01:30:11,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-24-2023-21:05:12,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jun-27-2024-13:46:14,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:31:24,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-29-2024-19:34:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-30-2024-18:34:15,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-13-2024-16:11:44,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-16-2023-18:44:42,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-27-2024-18:13:45,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-13-2023-16:02:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-20-2023-19:30:33,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-22-2023-18:54:51,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-15-2023-16:08:37,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-15-2024-18:49:06,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-23-2024-07:01:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-23-2024-11:41:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-28-2024-17:21:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-29-2024-17:08:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-23-2024-19:19:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-06-2024-17:59:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-12-2024-05:32:19,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-27-2023-17:02:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-03-2024-12:08:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-27-2024-17:50:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:17:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-09-2023-19:12:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-14-2023-03:28:41,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-14-2023-15:47:02,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-03-2023-06:06:19,ORF_only_v2_nov-11-2021.csv,Wormbase.ID
Sep-12-2023-21:53:31,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-03-2024-11:20:17,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Nov-28-2023-23:26:22,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-22:41:44,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-12-2024-01:09:16,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-06-2023-11:59:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-25-2023-17:27:04,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Oct-10-2024-13:29:49,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-14-2023-16:24:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-23-2024-11:00:08,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-28-2023-20:44:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-07-2024-06:23:56,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-16-2024-18:53:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-11-2024-15:12:42,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-05-2024-23:55:50,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-05-2024-16:56:25,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-21-2023-08:52:39,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-29-2023-20:02:41,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-22-2024-22:22:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-02-2024-12:07:22,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-03-2024-22:36:49,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-16-2024-01:55:12,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Mar-05-2024-19:45:38,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-28-2024-14:31:48,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-27-2024-21:24:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-07-2023-20:01:19,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-10-2023-17:36:50,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-22-2023-00:29:23,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-06-2024-01:55:26,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Feb-03-2024-17:47:44,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-19-2024-18:07:32,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-14-2024-20:23:25,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-15-2024-02:53:01,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-28-2024-01:59:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-13-2023-07:33:15,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:12:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-23-2024-12:30:14,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-02-2023-05:56:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-07-2023-22:38:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-21-2024-16:38:35,whole_genome_v2_nov-11-2021.csv,Sequence.ID
May-03-2024-16:46:43,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Nov-13-2023-00:29:14,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-14-2023-15:38:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-10-2024-15:26:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-04-2024-16:01:06,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-13-2023-22:51:16,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-27-2023-13:17:56,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-13-2024-22:07:56,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-11-2023-15:10:39,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-19-2024-13:20:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-17-2024-17:29:50,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-23-2023-07:31:45,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-29-2023-11:30:11,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-13-2024-15:42:17,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-17-2023-14:36:51,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-22-2024-17:11:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-28-2024-17:20:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-27-2023-18:28:20,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-20-2024-16:13:48,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-26-2024-17:55:34,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-17-2024-20:11:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-20-2023-08:28:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-19-2023-03:40:11,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-28-2023-07:28:41,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-05-2024-16:01:37,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-13-2024-07:07:46,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:46:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-01-2024-13:50:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-14-2023-15:43:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-15-2024-14:30:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-01-2024-18:29:09,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-19-2024-12:38:54,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-17-2024-16:03:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-07-2023-13:45:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-14-2024-23:06:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-23-2024-04:30:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2024-08:53:16,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-28-2024-18:06:17,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-15-2024-14:17:19,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Apr-14-2024-16:33:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-26-2023-18:14:10,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jun-18-2024-21:41:30,orfeome_v1_jan-31-2019.csv,Sequence.ID
Mar-27-2024-15:21:36,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-22-2024-07:18:15,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-20-2023-18:09:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-26-2024-17:32:47,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Dec-15-2023-20:03:05,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-07-2023-20:49:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:18:52,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-26-2023-01:05:01,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jan-08-2024-13:08:46,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-03-2023-19:32:02,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-26-2024-14:53:50,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-19-2024-18:39:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-26-2023-10:13:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-24-2023-15:38:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-29-2024-02:23:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-10-2023-18:59:50,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-20-2023-09:52:20,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-10-2023-12:06:37,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-12-2023-16:36:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-11-2024-03:54:17,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-29-2023-01:46:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-18-2024-17:03:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-04-2024-17:32:19,whole_genome_v1_jul-03-2019.csv,Wormbase.ID
Jan-29-2024-18:33:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-10-2024-20:15:55,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jan-19-2024-17:23:04,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-19-2024-17:23:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-19-2024-17:23:12,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-19-2024-17:23:20,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-05-2024-00:16:51,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-12-2023-16:32:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-14-2024-11:07:52,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-14-2024-15:51:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-15-2024-11:45:44,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-15-2024-13:19:48,whole_genome_v1_jul-03-2019.csv,Wormbase.ID
Aug-08-2023-02:26:43,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-21-2023-09:12:31,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-29-2024-23:15:15,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-27-2023-21:08:29,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-13-2024-17:13:41,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-15-2023-00:23:45,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jul-10-2024-21:58:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-04-2024-09:52:15,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-17-2024-16:15:09,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-23-2024-04:01:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-28-2023-15:00:58,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:20:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-17-2023-01:48:02,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-30-2024-00:33:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-13-2023-20:09:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-03-2024-12:34:33,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-29-2024-23:12:40,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jun-28-2024-19:24:38,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-10-2024-05:13:34,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-27-2024-18:07:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-09-2023-03:23:43,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-26-2024-17:26:15,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-30-2023-17:22:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-25-2024-07:39:19,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Nov-09-2023-13:22:39,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Feb-20-2024-15:47:53,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Feb-18-2024-17:28:39,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-16-2023-17:12:09,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-03-2024-08:36:20,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-21-2024-15:38:32,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-04-2023-23:31:03,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-11-2024-18:08:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-11-2024-18:08:32,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-11-2024-18:08:39,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-11-2024-18:08:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-23-2024-19:01:12,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-16-2024-13:56:54,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-08-2024-20:30:16,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-13-2024-14:51:56,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-03-2024-21:14:18,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-02-2024-13:18:14,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-24-2024-08:35:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-27-2024-09:24:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-28-2024-18:38:08,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-07-2024-19:59:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-13-2024-16:35:01,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-09-2024-14:41:34,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-05-2024-12:14:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-30-2023-10:56:51,whole_genome_v2_nov-11-2021.csv,Sequence.ID
May-10-2024-19:23:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:32:19,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-13-2024-14:48:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-12-2023-04:16:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-13-2024-10:07:31,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-11-2023-15:09:14,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-13-2024-20:39:21,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jul-08-2024-20:35:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-03-2024-11:56:14,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2023-17:12:36,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Nov-30-2023-02:18:31,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-22-2024-10:42:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-09-2024-22:57:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-10-2024-12:00:07,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-21-2024-20:45:41,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-02-2024-00:29:31,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-14-2024-12:42:31,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Jul-22-2024-07:09:17,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-28-2024-00:59:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-16-2023-18:03:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-13-2023-02:43:43,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-05-2023-09:21:23,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
May-28-2024-21:14:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-26-2024-19:23:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-21-2024-15:57:30,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-22-2024-15:12:23,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-27-2023-21:16:04,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-16-2024-01:04:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-19-2024-21:03:01,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-19-2024-21:03:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-19-2024-21:02:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-01-2023-17:22:45,orfeome_v2_nov-11-2021.csv,Wormbase.ID
Jun-04-2024-09:33:38,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-20-2023-19:34:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-17-2023-00:56:12,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
